officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Samurou B.O,795009,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Wangoi S.O,Imphal H.O,NA,NA
Sanakeithel B.O,795145,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Litan S.O,Imphal H.O,NA,NA
Sangaikot B.O,795101,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Sugnu S.O,Imphal H.O,NA,NA
Sangaiprou B.O,795140,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Tulihal S.O,Imphal H.O,NA,NA
Sangaiyumpham B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
Sangpei Khullen B.O,795118,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Saikul S.O,Imphal H.O,NA,NA
Sangphou B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Santhel B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O,NA,NA
Santing B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Sapam Salai B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
Sapermeina B.O,795107,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Motbung S.O,Imphal H.O,NA,NA
Saram Patong B.O,795149,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Yairipok S.O,Imphal H.O,NA,NA
Saranamei B.O,795104,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Tadubi S.O,Imphal H.O,NA,NA
Satang B.O,795114,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Pngaei Yangdong S.O,Imphal H.O,NA,NA
Sawaiphaih (T/C/D) B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O,NA,NA
Sawombung B.O,795010,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Lamlong S.O,Imphal H.O,NA,NA
Sayang Kuraomakhong B.O,795004,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamphelpat S.O,Imphal H.O,NA,NA
Sehao B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O,NA,NA
Sekmai S.O,795136,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,03875-265229,NA,Imphal H.O,NA,NA
Sekmaijin  Khunou Konuma B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O,NA,NA
Sekmaijin B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O,NA,NA
Sekmaijin Khunou Litan Makhong B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O,NA,NA
Semol B.O,795145,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Litan S.O,Imphal H.O,NA,NA
Semol B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O,NA,NA
